16	51	10	28	7	4.5
15.5	52	8	27	8.5	4
14.1	49	11	25	7.2	3.8
13	50	10	26	7.5	5.6
16.1	50	10	27	7	6.65
13.5	50	12	27	8.8	5.7
16.5	50	11	23	9.5	6.75
15	50	9	29	9	5.8
14.8	48	8	26	8.5	3.9
15	45	7	31	6	4.35
12	40	6	33	5.5	4.4
12	51	8	32	5.6	6.5
10	42	8	30	5.5	6.4
10	44	9	35	4.8	4.3
15	40	7	29	6.5	6.5
9	46	9	30	7	6.55
7.5	42	8	28	6	6.4
12	47	7	35	6.7	6.45
20	43	9	30	6.2	6.6
12	41	8	28	6.3	5.3
10.5	50	7	27	6.4	4.35
21	52	9	26	6.7	4.4
9	40	10	25	6.8	4.3
11	52	11	25	6	5.3
10	43	9	25	7	4.4
9	44	7	36	6.3	4.54
7	45	8	23	6.4	4.5
10	48	9	27	6.5	3.55
13	52	9	25	7	3.8
9	45	11	37	7.4	3.5
8	46	10	32	7.8	4.5
9.5	49	10	25	8.2	2.6
7	44	12	30	8.5	2.62
9.5	51	15	31	7	2.7
10	46	11	24	7.6	2.7
9.5	48	10	27	7.4	3.55
8.5	47	12	25	7.3	3.6
7	48	11	26	7.8	3.65
8	54	10	21	8	3.7
8.5	55	13	33	8.1	3.55
20	34	10	24	9.8	12.1
26	31	8	21	11	12.2
19.5	30	9	20	10.5	11.3
19.5	32	9	19	11	10.1
22	33	10	24	9.5	12.05
22	30	8	25	9	12.1
19	34	9	26	9.6	10.7
28.5	30	11	19	10	9.9
30	30	9	20	10.2	11.2
22.5	30	10	22	10.5	9.85
26	34	8	22	9.7	10.9
28	30	3	20	11.2	12
30	34	10	20	10.8	8.35
31	30	11	19	10.6	10.55
29	31	12	26	9.4	12.4
26	30	8	22	9.8	10.15
29	33	9	25	10	10.1
16	31	11	20	7.9	11.7
24	35	11	20	8.8	9.9
19.5	31	8	21	8.1	9.75
29	34	10	19	9.4	8.6
21	35	9	22	9.6	9.5
18	30	11	22	9.7	9.9
20.5	29	11	23	9	8.05
21.5	34	8	21	10	7
27	31	8	20	11.1	11.7
29	30	9	23	10.2	13.5
32	32	10	19	8.7	11.6
21	30	9	18	11.2	10.1
21	30	8	21	9.5	11.9
18.5	34	9	25	9.6	10.55
20	32	8	26	9.8	9.8
17	29	9	20	9.5	10.95
14	30	9	20	9.8	9.9
9	52	8	24	12	2.1
11	49	9	22	13	2.2
10	56	8	19	12.8	2.16
9.5	49	8	24	12.4	2.18
6.5	62	9	30	13.4	2
5.5	50	10	27	12.8	2.05
7	53	7	28	11.8	2.04
8.5	49	11	19	11.7	2.06
11.5	50	10	21	12.2	1.98
11	57	9	26	12.5	2.3
9.5	48	8	27	11.4	2.28
9.5	49	8	29	11.8	2.4
12	61	9	24	12	2.44
